mother_tongue_code,mother_tongue,canonical_language,language_glottocode,glottolog_name,family_id,iso639P3code,glottolog_level,match_basis,review_status,notes
089999,Others,Monpa,,,,,,,unresolved,
090003,Kol,Munda,,,,,,,unresolved,
090006,Munda,Munda,,,,,,,unresolved,
090999,Others,Munda,,,,,,,unresolved,
091004,Mundari,Mundari,mund1320,Mundari,aust1305,unr,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
091005,Mura,Mundari,,,,,,,unresolved,
091999,Others,Mundari,,,,,,,unresolved,
092001,Nicobarese,Nicobarese,,,,,,,unresolved,
093001,Apatani,Nissi/Dafla,apat1240,Apatani,sino1245,apt,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
093002,Bangni,Nissi/Dafla,naaa1245,Na,sino1245,nbt,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
093007,Nissi,Nissi/Dafla,,,,,,,unresolved,
093008,Tagin,Nissi/Dafla,tagi1241,Tagin,sino1245,tgj,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
093999,Others,Nissi/Dafla,,,,,,,unresolved,
094003,Nocte,Nocte,,,,,,,unresolved,
094999,Others,Nocte,,,,,,,unresolved,
095002,Paite,Paite,,,,,,,unresolved,
095999,Others,Paite,,,,,,,unresolved,
096001,Dhurwa,Parji,,,,,,,unresolved,
096999,Others,Parji,,,,,,,unresolved,
097001,Pawi,Pawi,,,,,,,unresolved,
098001,Persian,Persian,,,,,,,unresolved,
099001,Phom,Phom,,,,,,,unresolved,
100005,Pochury,Pochury,,,,,,,unresolved,
100999,Others,Pochury,,,,,,,unresolved,
101002,Rabha,Rabha,rabh1238,Rabha,sino1245,rah,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
101999,Others,Rabha,,,,,,,unresolved,
102002,Rai,Rai,,,,,,,unresolved,
102999,Others,Rai,,,,,,,unresolved,
103001,Rengma,Rengma,,,,,,,unresolved,
104003,Sangtam,Sangtam,,,,,,,unresolved,
104999,Others,Sangtam,,,,,,,unresolved,
105002,Savara,Savara,,,,,,,unresolved,
105999,Others,Savara,,,,,,,unresolved,
106001,Sema,Sema,,,,,,,unresolved,
107001,Sherpa,Sherpa,,,,,,,unresolved,
108005,Shina,Shina,shin1264,Shina,indo1319,scl,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
108999,Others,Shina,,,,,,,unresolved,
109001,Simte,Simte,simt1238,Simte,sino1245,smt,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
110001,Tamang,Tamang,,,,,,,unresolved,
111005,Tangkhul,Tangkhul,,,,,,,unresolved,
111999,Others,Tangkhul,,,,,,,unresolved,
112017,Tangsa,Tangsa,,,,,,,unresolved,
112999,Others,Tangsa,,,,,,,unresolved,
113015,Thado,Thado,,,,,,,unresolved,
113999,Others,Thado,,,,,,,unresolved,
114008,Tibetan,Tibetan,tibe1272,Tibetan,sino1245,bod,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
114999,Others,Tibetan,,,,,,,unresolved,
115002,Kok Barak,Tripuri,,,,,,,unresolved,
115005,Reang,Tripuri,,,,,,,unresolved,
115006,Tripuri,Tripuri,,,,,,,unresolved,
115999,Others,Tripuri,,,,,,,unresolved,
116009,Tulu,Tulu,tulu1258,Tulu,drav1251,tcy,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
116999,Others,Tulu,,,,,,,unresolved,
117001,Vaiphei,Vaiphei,vaip1239,Vaiphei,sino1245,vap,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
118001,Wancho,Wancho,,,,,,,unresolved,
119003,Tikhir,Yimchungre,yimc1240,Yimchungru Naga,sino1245,yim,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
119004,Yimchungre,Yimchungre,,,,,,,unresolved,
119999,Others,Yimchungre,,,,,,,unresolved,
120001,Zeliang,Zeliang,,,,,,,unresolved,
121002,Zemi,Zemi,,,,,,,unresolved,
121999,Others,Zemi,,,,,,,unresolved,
122001,Zou,Zou,zouu1235,Zou,sino1245,zom,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
